N;Place;A;B;C;P;Link
1;Обцарский;1,5;1;0,8;глина;Гуринов, 2017
2;Обцарский;7;3;1;доломит;Гуринов, 2017
3;Обцарский;4;2;0,7;доломит;Гуринов, 2017
4;Обцарский;4;2;1,5;доломит;Гуринов, 2017
5;Обцарский;7;4;0,5;доломит;Гуринов, 2017
6;Обцарский;3,5;2;1;доломит;Гуринов, 2017
7;Обцарский;7;4;3;доломит;Гуринов, 2017
8;Обцарский;8;5;2;доломит;Гуринов, 2017
9;Обцарский;8;7;5;доломит;Гуринов, 2017
10;Обцарский;8;4,5;0,5;доломит;Гуринов, 2017
11;Обцарский;14;0,7;0,3;известняк;Гуринов, 2017
12;Обцарский;4;1;0,3;известняк;Гуринов, 2017
13;Обцарский;4;1;0,5;известняк;Гуринов, 2017
14;Обцарский;2,5;1;0,5;известняк;Гуринов, 2017
15;Обцарский;3;1,5;1;известняк;Гуринов, 2017
16;Обцарский;3;1,5;1;известняк;Гуринов, 2017
17;Обцарский;6,5;3,5;1;известняк;Гуринов, 2017
18;Обцарский;4,5;2,5;1;известняк;Гуринов, 2017
19;Обцарский;2,5;1,5;0,5;известняк;Гуринов, 2017
20;Обцарский;8;5;3;известняк;Гуринов, 2017
21;Обцарский;3;2;0,3;известняк;Гуринов, 2017
22;Обцарский;3,5;2,5;1;известняк;Гуринов, 2017
23;Обцарский;7;5;3;известняк;Гуринов, 2017
24;Обцарский;5;4;3;известняк;Гуринов, 2017
25;Обцарский;3;2,5;1;известняк;Гуринов, 2017
26;Обцарский;3,5;2;1,5;кварцит;Гуринов, 2017
27;Обцарский;2,5;2;2;кварцит;Гуринов, 2017
28;Обцарский;6;5;1;кварцит;Гуринов, 2017
29;Обцарский;3;3;2;кварцит;Гуринов, 2017
30;Обцарский;12;3,5;2;кремень;Гуринов, 2017
31;Обцарский;6,5;2;1,5;кремень;Гуринов, 2017
32;Обцарский;4;1,5;1;кремень;Гуринов, 2017
33;Обцарский;5;2;1,5;кремень;Гуринов, 2017
34;Обцарский;4;2;0,3;кремень;Гуринов, 2017
35;Обцарский;4;2;0,7;кремень;Гуринов, 2017
36;Обцарский;6,5;3,5;1,5;кремень;Гуринов, 2017
37;Обцарский;5,5;3;2,5;кремень;Гуринов, 2017
38;Обцарский;4,5;2,5;1;кремень;Гуринов, 2017
39;Обцарский;3,5;2;0,3;кремень;Гуринов, 2017
40;Обцарский;3,5;2;1,5;кремень;Гуринов, 2017
41;Обцарский;3;2;0,5;кремень;Гуринов, 2017
42;Обцарский;3;2;1,5;кремень;Гуринов, 2017
43;Обцарский;7;5;2;кремень;Гуринов, 2017
44;Обцарский;4;3;0,5;кремень;Гуринов, 2017
45;Обцарский;7;1;0,6;мергель;Гуринов, 2017
46;Обцарский;9;1,5;1;мергель;Гуринов, 2017
47;Обцарский;4;1;0,5;мергель;Гуринов, 2017
48;Обцарский;5;1,5;0,5;мергель;Гуринов, 2017
49;Обцарский;5;1,5;1;мергель;Гуринов, 2017
50;Обцарский;4;1,5;1;мергель;Гуринов, 2017
51;Обцарский;9;3,5;1,5;мергель;Гуринов, 2017
52;Обцарский;2,5;1;1;мергель;Гуринов, 2017
53;Обцарский;9,5;4;2;мергель;Гуринов, 2017
54;Обцарский;7;3;0,5;мергель;Гуринов, 2017
55;Обцарский;8;3,5;0,7;мергель;Гуринов, 2017
56;Обцарский;4,5;2;0,5;мергель;Гуринов, 2017
57;Обцарский;10;4,5;2;мергель;Гуринов, 2017
58;Обцарский;3;1,5;0,4;мергель;Гуринов, 2017
59;Обцарский;4;2;0,8;мергель;Гуринов, 2017
60;Обцарский;6;3;1,5;мергель;Гуринов, 2017
61;Обцарский;6;3;2;мергель;Гуринов, 2017
62;Обцарский;6;3;2;мергель;Гуринов, 2017
63;Обцарский;4;2;1,5;мергель;Гуринов, 2017
64;Обцарский;7;4;0,5;мергель;Гуринов, 2017
65;Обцарский;7;4;2;мергель;Гуринов, 2017
66;Обцарский;3,5;2;1;мергель;Гуринов, 2017
67;Обцарский;5;3;0,5;мергель;Гуринов, 2017
68;Обцарский;5;3;1;мергель;Гуринов, 2017
69;Обцарский;5;3;1,5;мергель;Гуринов, 2017
70;Обцарский;5;3;2;мергель;Гуринов, 2017
71;Обцарский;4;2,5;0,8;мергель;Гуринов, 2017
72;Обцарский;4;2,5;1,5;мергель;Гуринов, 2017
73;Обцарский;8;5;3;мергель;Гуринов, 2017
74;Обцарский;3;2;0,3;мергель;Гуринов, 2017
75;Обцарский;3;2;0,4;мергель;Гуринов, 2017
76;Обцарский;3;2;0,5;мергель;Гуринов, 2017
77;Обцарский;3;2;1;мергель;Гуринов, 2017
78;Обцарский;6,5;4,5;1;мергель;Гуринов, 2017
79;Обцарский;3,5;2,5;0,5;мергель;Гуринов, 2017
80;Обцарский;4;3;1;мергель;Гуринов, 2017
81;Обцарский;4;3;1,5;мергель;Гуринов, 2017
82;Обцарский;2;1,5;1,5;мергель;Гуринов, 2017
83;Обцарский;2,5;2;1;мергель;Гуринов, 2017
84;Обцарский;3;2,5;0,5;мергель;Гуринов, 2017
85;Обцарский;7;6;4;мергель;Гуринов, 2017
86;Обцарский;2;2;0,5;мергель;Гуринов, 2017
87;Обцарский;1;1;0,4;мергель;Гуринов, 2017
88;Обцарский;2;2;1;мергель;Гуринов, 2017
89;Обцарский;7;4;3;основная гп;Гуринов, 2017
90;Обцарский;12;5;2,5;песчаник;Гуринов, 2017
91;Обцарский;4;3;1,5;песчаник;Гуринов, 2017
